Supplementary Data 1. Gene expression in each cluster within cells expressing CD8A,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
NR4A2,8.5094141566788e-106,1.087450357,0.613,0.267,1.4296666724636e-101,2
GADD45B,1.05975402907724e-64,0.89890622,0.637,0.414,1.78049274425267e-60,2
JUN,1.63788642276213e-52,0.476461001,0.839,0.653,2.75181297888266e-48,2
NFKBIA,1.64239309530285e-44,0.534261006,0.76,0.562,2.75938463941833e-40,2
ZFP36,2.52285229977167e-43,0.499877656,0.807,0.635,4.23864414884639e-39,2
JUNB,3.94014327523493e-43,0.3419403,0.898,0.744,6.61983471672221e-39,2
ZFP36L1,2.07395527932685e-35,0.648271339,0.63,0.456,3.48445226479704e-31,2
FOSB,5.60136518071185e-34,0.539273847,0.468,0.264,9.41085364011398e-30,2
IER2,7.46949822899888e-34,0.579879929,0.773,0.581,1.2549503974541e-29,2
JUND,5.55715062056457e-30,0.545880935,0.814,0.65,9.33656875761053e-26,2
TNFAIP3,3.38049709467923e-27,0.40310981,0.717,0.571,5.67957316877058e-23,2
TAGAP,2.58799123082881e-24,0.507879131,0.554,0.394,4.34808406691548e-20,2
BTG2,2.51705475349085e-23,0.459242369,0.489,0.307,4.22890369133999e-19,2
PPP1R15A,1.37582187026352e-22,0.403340601,0.658,0.498,2.31151832422974e-18,2
BRD2,1.93498003882005e-22,0.498052006,0.586,0.386,3.25095996322156e-18,2
FGFBP21,2.78369725301819e-21,0.311966357,0.938,0.782,4.67688975479587e-17,2
SRSF7,4.48691457081411e-21,0.429734304,0.738,0.583,7.53846517042478e-17,2
SERTAD1,8.08130153548876e-18,0.435894921,0.327,0.175,1.35773947097747e-13,2
SLC38A2,9.46307319680087e-17,0.393288245,0.349,0.204,1.58989092779451e-12,2
INTS6,9.73446643002802e-16,0.420279024,0.289,0.161,1.63548770490901e-11,2
GZMB1,3.93769875574588e-14,0.269056717,0.882,0.73,6.61572767952865e-10,2
AC020916.1,6.93882416897984e-14,0.369056461,0.301,0.175,1.1657918486303e-09,2
UBB,3.94685318280222e-13,0.310037359,0.856,0.754,6.631108032426e-09,2
SPON21,1.54701298067779e-11,0.335025467,0.732,0.556,2.59913650883676e-07,2
ZEB2,6.06528067730523e-11,0.274379357,0.679,0.515,1.01902780659405e-06,2
SRGN,2.30644881005388e-10,0.34022595,0.814,0.695,3.87506464577152e-06,2
ADGRG11,2.71723880606068e-09,0.271700076,0.684,0.513,4.56523291806254e-05,2
TUBA1B,1.30801093081282e-08,0.321373516,0.583,0.436,0.000219759,2
SMAD7,1.41371253561777e-08,0.267120341,0.286,0.182,0.000237518,2
DDX3X,1.75936909763852e-07,0.262529553,0.299,0.208,0.002955916,2
LITAF,3.27821547143323e-07,0.27823972,0.846,0.734,0.00550773,2
TBX21,9.61373595405454e-07,0.32281525,0.557,0.401,0.016152038,2
KLRB1,0,2.175722481,0.93,0.236,0,3
CD8B,1.65961506438593e-195,1.164046606,0.904,0.674,2.7883192696748e-191,3
KLRC2,6.6886856718433e-95,0.989546015,0.265,0.031,1.12376607972639e-90,3
FCGR3A,1.07490627819658e-88,1.095366122,0.703,0.346,1.80595003799807e-84,3
GNLY1,3.3457714705476e-80,0.586553843,0.998,0.904,5.62123064766702e-76,3
FGFBP22,1.66449857615824e-72,0.686281265,0.974,0.786,2.79652405780346e-68,3
NKG71,5.40740567196752e-60,0.444151341,1,0.966,9.08498226947263e-56,3
KLRF1,9.02952233371326e-48,0.786356529,0.285,0.09,1.51705004728717e-43,3
GZMB2,4.15269822932373e-47,0.638595713,0.926,0.732,6.9769482950868e-43,3
CES1,8.67617595204135e-47,0.81243123,0.349,0.126,1.45768432170247e-42,3
PRF1,1.06436452325212e-42,0.631306129,0.899,0.754,1.78823883551588e-38,3
SLC1A7,1.00809974865478e-41,0.796988541,0.286,0.091,1.69370838771489e-37,3
SPON22,1.56552103765823e-39,0.695815764,0.799,0.557,2.63023189536959e-35,3
CST7,8.59630262573803e-36,0.414388836,0.991,0.925,1.44426480415025e-31,3
GZMH2,1.26464329364977e-33,0.387424708,0.992,0.877,2.12472719766098e-29,3
CD247,6.75352826108693e-30,0.531413488,0.657,0.534,1.13466028314522e-25,3
HLA-C,9.23506731766888e-27,0.2505137,0.999,0.995,1.55158366004155e-22,3
EFHD2,1.67843991740695e-24,0.471388387,0.918,0.812,2.81994690523541e-20,3
TCF25,6.75241612260798e-22,0.536270513,0.722,0.561,1.13447343275937e-17,3
MXRA7,7.08740038763323e-22,0.566266065,0.34,0.177,1.19075413912626e-17,3
CD991,1.36309678518031e-17,0.326406936,0.947,0.876,2.29013890878143e-13,3
LTBP4,3.70998357362232e-17,0.509144034,0.276,0.147,6.23314340204287e-13,3
MT2A,4.39361313829975e-17,0.484930974,0.631,0.512,7.38170943365741e-13,3
TRG-AS1,4.67878079511151e-16,0.421365929,0.445,0.319,7.86081961386685e-12,3
ASCL2,1.48139194747509e-15,0.51921179,0.34,0.194,2.48888661095291e-11,3
GZMA1,2.05877965553558e-14,0.355691453,0.906,0.812,3.45895569926533e-10,3
SYNGR1,2.50274345408155e-14,0.510436205,0.322,0.184,4.20485927720242e-10,3
CD8A,1.9253262040156e-13,0.382358456,0.903,0.815,3.23474055536661e-09,3
PRSS231,2.15568378767296e-13,0.489702025,0.527,0.347,3.62176433166935e-09,3
