Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
WDR1,2.33865748453735e-07,-0.160932439,0.422,0.549,0.003929178
THUMPD1,2.35156757661485e-07,-0.117460708,0.176,0.252,0.003950869
TRAPPC1,2.35913719716159e-07,0.02356994,0.452,0.514,0.003963586
HIST1H1D,2.38821311262313e-07,0.368806276,0.349,0.289,0.004012437
RNASET2,2.5481214853325e-07,-0.050422584,0.234,0.309,0.004281099
RNF10,2.55894821279176e-07,0.01760516,0.202,0.251,0.004299289
EIF3L,2.61152860226026e-07,-0.130592593,0.442,0.56,0.004387629
NDUFA13,2.64040305826903e-07,-0.005634218,0.569,0.66,0.004436141
MORF4L1,2.68364801861302e-07,-0.061518484,0.464,0.566,0.004508797
CD58,2.68539799085404e-07,-0.000420427,0.15,0.193,0.004511737
TMSB10,2.76019420299496e-07,0.113508969,0.996,0.998,0.004637402
SON,2.92550490571311e-07,0.190616944,0.711,0.739,0.004915141
PTS,2.96445285831511e-07,-0.156378241,0.051,0.109,0.004980577
DYNLT1,2.99975184501372e-07,-0.16794805,0.186,0.278,0.005039883
AKAP13,3.05966371258709e-07,0.178628904,0.407,0.432,0.005140541
REL,3.06192676534343e-07,0.17314633,0.244,0.249,0.005144343
HMGN4,3.1801165881895e-07,-0.125660503,0.21,0.297,0.005342914
ERCC5,3.27790705737651e-07,0.085218118,0.244,0.283,0.005507212
DDIT4,3.37788666618169e-07,-0.23954099,0.182,0.283,0.005675187
CLIC3,3.43788778114148e-07,-0.011977731,0.175,0.229,0.005775995
UFC1,3.60534602948036e-07,-0.062263284,0.396,0.492,0.006057342
HIST1H4C,3.77322018027623e-07,0.26109056,0.397,0.356,0.006339387
WDR82,3.79534365275642e-07,0.003051799,0.155,0.195,0.006376557
KHDRBS1,4.15863453655668e-07,-0.041519501,0.471,0.565,0.006986922
ZNF706,4.18560827492299e-07,-0.103200335,0.216,0.294,0.00703224
IDS,4.19402925266066e-07,-0.182951222,0.391,0.511,0.007046389
NSMCE4A,4.22759978940467e-07,-0.175724675,0.129,0.205,0.00710279
S100A11,4.25916981365544e-07,-0.256221513,0.419,0.557,0.007155831
RBMS1,4.31239186264512e-07,-0.224285356,0.241,0.349,0.00724525
NOP53,4.450867844211e-07,-0.001693245,0.672,0.762,0.007477903
RASSF1,4.49196758370896e-07,-0.037350604,0.466,0.561,0.007546955
SRSF8,4.49916124527876e-07,-0.028833964,0.191,0.246,0.007559041
RNF149,4.55131266564739e-07,-0.126113698,0.334,0.442,0.00764666
CD48,4.59190683771487e-07,0.040362217,0.616,0.692,0.007714863
SYNGR1,4.61095843414088e-07,0.249308946,0.212,0.176,0.007746871
RNF4,4.61229784569804e-07,-0.002073025,0.149,0.195,0.007749122
CAPZA1,4.87637560991852e-07,-0.122527663,0.26,0.355,0.008192799
ZBTB8OS,4.89662198450722e-07,-0.114119518,0.149,0.218,0.008226815
GAS5,4.90404495304021e-07,-0.069515415,0.447,0.541,0.008239286
EXOC2,5.08367614260891e-07,-0.08819488,0.062,0.109,0.008541084
CDV3,5.16338214600279e-07,0.155837449,0.396,0.422,0.008674998
DDX6,5.39590351910127e-07,-0.058595794,0.399,0.492,0.009065658
HCST,5.8058597065205e-07,0.084856707,0.88,0.92,0.009754425
METTL26,5.90891900716746e-07,0.071390251,0.314,0.347,0.009927575
PLIN2,6.08606789733573e-07,-0.124455935,0.083,0.142,0.010225203
FKBP5,6.1563233534153e-07,0.286096955,0.179,0.129,0.010343239
CLDND1,6.15654863098942e-07,-0.269592246,0.238,0.339,0.010343617
SLTM,6.2675302208468e-07,0.05486462,0.289,0.341,0.010530078
