Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
GIMAP2,0.040614061,0.351836393,0.178,0.129,1,-0.049
NDUFV2,0.040649087,0.247391381,0.341,0.258,1,-0.083
FOXO1,0.040736431,0.282349436,0.148,0.102,1,-0.046
ACTN4,0.040782047,-0.376117241,0.364,0.409,1,0.045
SETX,0.040793489,0.205775838,0.254,0.189,1,-0.065
NUDT5,0.040845127,0.284556003,0.155,0.108,1,-0.047
AKAP17A,0.040909012,0.411641183,0.205,0.151,1,-0.054
PELP1,0.041016472,0.502148772,0.121,0.082,1,-0.039
HMGN2,0.041103653,-0.235523085,0.595,0.587,1,-0.008
DMXL1,0.041208537,-0.943455617,0.064,0.102,1,0.038
FBRS,0.041324148,0.294545421,0.163,0.115,1,-0.048
IDH3B,0.041479001,0.287913159,0.22,0.164,1,-0.056
ESYT2,0.041577597,0.211835704,0.223,0.165,1,-0.058
SLC44A2,0.041743427,-0.46283968,0.231,0.275,1,0.044
PDCD7,0.041894962,0.205252688,0.223,0.163,1,-0.06
PARP1,0.04194447,0.205924964,0.318,0.246,1,-0.072
HSD17B8,0.042127919,0.404179245,0.106,0.069,1,-0.037
PPIG,0.042280894,0.251158581,0.322,0.248,1,-0.074
FOXN2,0.042299969,0.319248918,0.186,0.135,1,-0.051
SELENOT,0.042370836,-0.378598537,0.318,0.36,1,0.042
MAT2B,0.042624413,-0.423227589,0.273,0.32,1,0.047
ZNF217,0.042631437,0.358874452,0.167,0.12,1,-0.047
GALNT3,0.042932788,0.264316656,0.102,0.066,1,-0.036
RAB1A,0.043140161,0.34293227,0.155,0.108,1,-0.047
PSTPIP1,0.043162462,0.220141328,0.25,0.189,1,-0.061
OGFOD3,0.043209563,0.351252344,0.11,0.072,1,-0.038
CDK17,0.043306265,0.15263095,0.33,0.252,1,-0.078
IRF7,0.043505215,-0.935983707,0.083,0.122,1,0.039
PAK2,0.043629563,0.138433367,0.504,0.402,1,-0.102
CCT8,0.04404715,0.265689642,0.28,0.216,1,-0.064
RBM26,0.044077608,0.221102469,0.159,0.112,1,-0.047
RCSD1,0.044254612,0.180800734,0.402,0.315,1,-0.087
CDK2AP2,0.044292823,-0.317443334,0.409,0.428,1,0.019
STAG2,0.044301722,0.183256198,0.231,0.17,1,-0.061
AFG3L2,0.044306991,0.391871166,0.144,0.101,1,-0.043
MT-ND5,0.044321759,0.111429633,0.955,0.901,1,-0.054
ZNHIT1,0.044449082,-0.42149343,0.265,0.311,1,0.046
NUCB1,0.04450844,-0.398647895,0.364,0.404,1,0.04
YTHDC2,0.044583533,0.414270215,0.106,0.07,1,-0.036
MEAF6,0.044695764,-0.524208227,0.284,0.319,1,0.035
BRK1,0.044769827,-0.357949001,0.451,0.467,1,0.016
RAB5C,0.045004461,-0.385900743,0.356,0.383,1,0.027
PNN,0.045128034,0.27651927,0.367,0.295,1,-0.072
DDT,0.045216452,0.105947143,0.254,0.187,1,-0.067
SIAH2,0.045256974,0.269655011,0.174,0.125,1,-0.049
LDHA,0.045399023,-0.27451279,0.489,0.499,1,0.01
EBPL,0.045510875,0.217031679,0.144,0.098,1,-0.046
MPHOSPH10,0.045567893,0.361971812,0.129,0.088,1,-0.041
ACO2,0.045672976,0.281403271,0.182,0.131,1,-0.051
AL138963.4,0.045924732,0.357167963,0.436,0.365,1,-0.071
WAS,0.046246457,-0.272119621,0.447,0.474,1,0.027
SNHG9,0.046268002,0.242515354,0.193,0.141,1,-0.052
SRSF11,0.046401142,0.221693734,0.534,0.451,1,-0.083
ILRUN,0.046834366,-0.77766125,0.083,0.123,1,0.04
RPS27L,0.046877541,-0.43714557,0.292,0.325,1,0.033
RABGGTB,0.04688841,0.232945292,0.182,0.133,1,-0.049
SF3B5,0.046944237,0.163410395,0.538,0.445,1,-0.093
RPL21,0.047085901,0.090047755,0.992,0.992,1,0
PARP14,0.047204113,-0.76428935,0.102,0.142,1,0.04
LPXN,0.04728199,0.137919603,0.299,0.228,1,-0.071
TWF2,0.047396027,-0.45687216,0.277,0.313,1,0.036
RAB7A,0.047449469,-0.353918987,0.288,0.342,1,0.054
PTGER4,0.047465108,0.153866282,0.28,0.21,1,-0.07
RPS15A,0.047823078,0.055642915,1,0.999,1,-0.001
LBH,0.04784153,-0.198202238,0.625,0.636,1,0.011
ELP5,0.048124925,0.41252504,0.133,0.091,1,-0.042
DYNLT1,0.048148617,0.223663912,0.246,0.182,1,-0.064
POP4,0.048199112,-0.804792642,0.095,0.135,1,0.04
NR1D2,0.048408961,0.319329157,0.216,0.16,1,-0.056
UPF3A,0.048443414,0.260896227,0.242,0.186,1,-0.056
IMP3,0.048468689,0.271509194,0.337,0.264,1,-0.073
TRIM4,0.04847405,0.312248535,0.163,0.118,1,-0.045
TAP2,0.048899029,-0.356436925,0.352,0.392,1,0.04
NEU1,0.048971695,-0.814736177,0.08,0.119,1,0.039
NUDC,0.04910073,0.18098825,0.299,0.226,1,-0.073
ZNF721,0.049177975,0.466625022,0.14,0.1,1,-0.04
PARP15,0.049263133,-0.459337363,0.174,0.221,1,0.047
PPP2R2B,0.049526636,-0.531568616,0.178,0.223,1,0.045
NEK9,0.049939156,0.337129325,0.152,0.107,1,-0.045
FOSL2,0.04995326,0.249584058,0.167,0.119,1,-0.048
SAP30BP,0.050018542,-0.543576874,0.148,0.193,1,0.045
BCAP29,0.050174167,-0.768260082,0.083,0.122,1,0.039
PPP1R35,0.050294653,0.349771329,0.265,0.202,1,-0.063
HNRNPUL2,0.050467164,-0.540228007,0.25,0.288,1,0.038
NDUFS4,0.050514506,0.194054911,0.129,0.088,1,-0.041
UBC,0.050731997,-0.099574453,0.966,0.962,1,-0.004
PSMB4,0.05075962,-0.670085651,0.14,0.182,1,0.042
CYB561D2,0.050945111,-0.55065113,0.17,0.212,1,0.042
ATXN3,0.051011289,0.370649481,0.106,0.071,1,-0.035
CD226,0.051084408,0.234569619,0.223,0.166,1,-0.057
TAB2,0.051097186,0.506391453,0.106,0.07,1,-0.036
FBL,0.051102852,0.157850605,0.356,0.279,1,-0.077
CNOT11,0.051195434,0.350662897,0.152,0.108,1,-0.044
AC012615.1,0.051452519,0.46835848,0.102,0.068,1,-0.034
CTDP1,0.051627645,0.454991034,0.102,0.068,1,-0.034
SLC20A1,0.051685193,-0.601182299,0.216,0.251,1,0.035
VAMP2,0.052085421,-0.176228072,0.731,0.729,1,-0.002
PDZD8,0.052167135,0.345784874,0.117,0.08,1,-0.037
PLEKHA1,0.052353934,-0.574719424,0.14,0.184,1,0.044
NDUFA4,0.052449119,0.125942322,0.705,0.602,1,-0.103
POLD2,0.052711975,0.283706207,0.117,0.078,1,-0.039
RAB27A,0.052730989,0.192900775,0.303,0.235,1,-0.068
TRAPPC6B,0.052803918,0.329836529,0.106,0.07,1,-0.036
PTPN2,0.052998583,-0.560753938,0.144,0.186,1,0.042
JADE2,0.053028533,0.122744485,0.216,0.156,1,-0.06
TBPL1,0.053088791,-0.81692329,0.114,0.151,1,0.037
AEBP2,0.053125563,0.219214243,0.212,0.158,1,-0.054
SUMO2,0.053188643,-0.213828932,0.701,0.691,1,-0.01
SMPD1,0.053188666,0.424478165,0.136,0.095,1,-0.041
EMD,0.053274158,0.183474459,0.375,0.295,1,-0.08
MRPS21,0.053646752,0.131923184,0.451,0.36,1,-0.091
F2R,0.053659712,-0.455442617,0.186,0.232,1,0.046
COX8A,0.053747228,-0.246021781,0.519,0.546,1,0.027
SRSF1,0.053794018,0.199142932,0.261,0.203,1,-0.058
GHITM,0.053846656,-0.407566858,0.322,0.354,1,0.032
LAPTM5,0.053915809,-0.135009686,0.905,0.897,1,-0.008
PSMC3,0.054331395,-0.717087592,0.136,0.175,1,0.039
EPB41,0.054349331,0.169751367,0.462,0.379,1,-0.083
C1QBP,0.054754012,0.148326799,0.33,0.254,1,-0.076
EIF3D,0.054861534,0.203579349,0.458,0.37,1,-0.088
ILK,0.0549101,-0.552355164,0.117,0.156,1,0.039
GRHPR,0.055004596,0.355245798,0.114,0.077,1,-0.037
AUTS2,0.055404618,0.274128265,0.17,0.125,1,-0.045
WASHC5,0.055425713,0.238752869,0.117,0.079,1,-0.038
PRDX6,0.055492765,0.224668681,0.341,0.268,1,-0.073
SUSD1,0.055536279,-0.813785819,0.083,0.12,1,0.037
GATAD2B,0.055921824,-0.629025109,0.114,0.155,1,0.041
VAV1,0.05597957,-0.746360305,0.091,0.129,1,0.038
SUPT3H,0.056292322,0.270186931,0.11,0.073,1,-0.037
ATXN1,0.056485712,0.190944301,0.117,0.079,1,-0.038
LCP1,0.056579417,-0.147115066,0.788,0.769,1,-0.019
C12orf75,0.056689119,-0.341903199,0.371,0.39,1,0.019
MPC1,0.05728792,-0.750090561,0.117,0.156,1,0.039
SEC31A,0.057449607,-0.531641472,0.167,0.207,1,0.04
SVIP,0.0576642,0.151008231,0.14,0.097,1,-0.043
CYP4V2,0.057782043,0.190046283,0.133,0.092,1,-0.041
IGF2R,0.057999063,-0.523153017,0.292,0.319,1,0.027
ABCE1,0.058093422,0.315284375,0.14,0.098,1,-0.042
ICAM3,0.058101426,0.160540193,0.682,0.608,1,-0.074
SLC38A1,0.0581131,0.26264063,0.337,0.276,1,-0.061
CEBPD,0.058209698,0.39294013,0.125,0.087,1,-0.038
UBA1,0.05841212,-0.686897466,0.114,0.154,1,0.04
MSL2,0.05847923,-0.8535914,0.068,0.103,1,0.035
RPL23A,0.05863567,-0.087001498,0.992,0.999,1,0.007
ZBTB25,0.058687459,0.433346663,0.136,0.097,1,-0.039
IFI6,0.05869822,0.282686021,0.239,0.179,1,-0.06
LPGAT1,0.058911231,0.453984111,0.159,0.115,1,-0.044
TAF7,0.059200686,-0.410997515,0.326,0.355,1,0.029
MVB12B,0.059415548,0.380310692,0.114,0.078,1,-0.036
SMAD7,0.059518042,-0.399053363,0.201,0.244,1,0.043
AC008555.4,0.059520121,0.378407304,0.136,0.096,1,-0.04
HNRNPDL,0.059522542,-0.144132295,0.758,0.74,1,-0.018
ESYT1,0.059624209,0.273250341,0.242,0.185,1,-0.057
DGAT1,0.05987325,0.413351409,0.144,0.104,1,-0.04
TOMM22,0.059901902,0.147728475,0.322,0.253,1,-0.069
ZFP36L1,0.060351904,-0.351763905,0.489,0.516,1,0.027
PRR5,0.060516541,-0.44720314,0.201,0.244,1,0.043
LINC01138,0.060522076,0.24489202,0.193,0.141,1,-0.052
ARPC1B,0.060833403,0.101857316,0.852,0.768,1,-0.084
ST3GAL1,0.060838545,0.239092132,0.231,0.175,1,-0.056
APC,0.061445621,0.418413961,0.102,0.069,1,-0.033
FBXL17,0.061483391,0.334934474,0.117,0.081,1,-0.036
RNF169,0.061493781,-0.381120027,0.106,0.145,1,0.039
YDJC,0.061532668,0.407722176,0.17,0.128,1,-0.042
KATNBL1,0.061578153,0.317253927,0.136,0.097,1,-0.039
CEP85L,0.061718925,0.371782216,0.106,0.071,1,-0.035
HM13,0.062007683,0.127667723,0.307,0.234,1,-0.073
GSK3B,0.062031479,-0.491740003,0.186,0.228,1,0.042
TMEM43,0.062275979,0.235649919,0.163,0.118,1,-0.045
DENND4B,0.062338451,-0.573326075,0.076,0.114,1,0.038
TACC1,0.062393001,-0.559792899,0.182,0.221,1,0.039
FIBP,0.062609576,0.264112555,0.201,0.15,1,-0.051
OSBPL3,0.062615587,0.323857931,0.106,0.071,1,-0.035
YWHAB,0.063030112,-0.161273674,0.75,0.753,1,0.003
HDLBP,0.063144309,0.293590877,0.163,0.12,1,-0.043
WDR61,0.063333252,0.350925681,0.14,0.1,1,-0.04
NIPSNAP1,0.063395272,0.168181802,0.136,0.094,1,-0.042
MED6,0.063568684,0.250780328,0.129,0.089,1,-0.04
MRPL57,0.063594649,0.190439546,0.288,0.22,1,-0.068
RYK,0.063882228,0.35593272,0.133,0.094,1,-0.039
KLHL24,0.064012231,-0.79248632,0.098,0.135,1,0.037
ADGRG5,0.064139736,-0.782986395,0.087,0.124,1,0.037
ARPC1A,0.064203943,-0.682277848,0.068,0.104,1,0.036
RPL24,0.064230047,0.065267201,0.992,0.983,1,-0.009
ALG13,0.06423899,0.401583543,0.114,0.078,1,-0.036
SCP2,0.064757092,-0.341910622,0.303,0.342,1,0.039
PTPN6,0.064926206,-0.518733317,0.227,0.265,1,0.038
SSR2,0.06493717,0.113489443,0.811,0.704,1,-0.107
MRPL14,0.065188125,0.207791881,0.148,0.106,1,-0.042
ABCF2,0.065298028,0.196568257,0.114,0.077,1,-0.037
RPL37A,0.06540159,-0.118535589,0.97,0.97,1,0
SPTBN1,0.065514826,0.269704958,0.155,0.112,1,-0.043
TOMM7,0.065869864,0.104750465,0.947,0.897,1,-0.05
DIP2A,0.066014411,-0.377990223,0.356,0.384,1,0.028
UBE2J1,0.066321061,0.292879222,0.197,0.147,1,-0.05
EVL,0.066436012,-0.134901791,0.792,0.779,1,-0.013
FAM120B,0.066499564,0.291400584,0.159,0.116,1,-0.043
ZNRD2,0.066638999,0.38419829,0.125,0.088,1,-0.037
FAM160B1,0.066802467,-0.721221033,0.083,0.12,1,0.037
GPRIN3,0.0668092,0.199797354,0.174,0.126,1,-0.048
DELE1,0.066853911,0.296120982,0.174,0.129,1,-0.045
INO80,0.066886502,0.36812404,0.163,0.119,1,-0.044
MED15,0.067068498,-0.370061328,0.33,0.359,1,0.029
ARL8A,0.067406871,-0.538064588,0.144,0.185,1,0.041
CWC27,0.067660255,0.482889291,0.114,0.079,1,-0.035
SEC63,0.067705589,0.212488915,0.197,0.148,1,-0.049
ZNF638,0.068113714,-0.457254594,0.152,0.195,1,0.043
TRAM1,0.068304864,0.13469109,0.462,0.374,1,-0.088
APOL6,0.06860054,-0.57896193,0.155,0.193,1,0.038
CUEDC2,0.068625429,0.195045419,0.189,0.139,1,-0.05
NASP,0.068762135,-0.692783842,0.102,0.14,1,0.038
ZCRB1,0.069003079,0.367009995,0.144,0.105,1,-0.039
ZYX,0.06902208,-0.378491008,0.447,0.464,1,0.017
UHMK1,0.069531382,-0.38012699,0.258,0.296,1,0.038
LRCH4,0.069615514,0.345432953,0.125,0.088,1,-0.037
PPDPF,0.06972061,-0.156584458,0.894,0.927,1,0.033
PGP,0.069861235,0.202523858,0.246,0.188,1,-0.058
IRAK1,0.070205292,0.325535559,0.152,0.11,1,-0.042
RECQL,0.070497763,-0.45933435,0.174,0.214,1,0.04
AIMP1,0.070517312,0.17759565,0.223,0.168,1,-0.055
RIPOR2,0.070649226,0.157626231,0.568,0.496,1,-0.072
CCDC47,0.070853691,0.437026472,0.14,0.101,1,-0.039
RNPS1,0.070973063,0.243841031,0.42,0.347,1,-0.073
NENF,0.071004325,0.263669284,0.261,0.209,1,-0.052
ITGB7,0.071218696,-0.231581218,0.409,0.42,1,0.011
LBR,0.071313919,-0.48827597,0.246,0.27,1,0.024
ATG3,0.071317537,0.157266586,0.208,0.157,1,-0.051
RPS19BP1,0.071482982,0.144521553,0.356,0.277,1,-0.079
RSL24D1,0.071644835,0.215988963,0.39,0.321,1,-0.069
DHX29,0.07190864,0.207217951,0.159,0.116,1,-0.043
SBK1,0.071969221,-0.719648069,0.098,0.135,1,0.037
CWC25,0.072077109,-0.816632772,0.091,0.125,1,0.034
AHNAK,0.072077497,-0.142554677,0.799,0.814,1,0.015
CALCOCO2,0.07213754,-0.614756688,0.17,0.207,1,0.037
PPP2R2A,0.07221555,-0.653126945,0.087,0.123,1,0.036
JAK3,0.072281278,0.166460197,0.212,0.156,1,-0.056
CAB39,0.07254686,0.256988764,0.212,0.16,1,-0.052
RPS7,0.072718429,0.066050464,0.996,0.999,1,0.003
CCT4,0.072764488,0.170212296,0.398,0.323,1,-0.075
SELENOM,0.072928945,0.210673402,0.189,0.14,1,-0.049
TMEM131L,0.073098622,0.437532544,0.114,0.078,1,-0.036
DPF2,0.073296337,0.250500171,0.14,0.1,1,-0.04
RPP21,0.073317409,-0.533768113,0.117,0.156,1,0.039
SEPTIN9,0.073364691,-0.184080771,0.64,0.65,1,0.01
SF3A3,0.073615942,-0.511732491,0.136,0.177,1,0.041
NOP58,0.073738311,0.259331795,0.258,0.202,1,-0.056
SEM1,0.074003847,-0.452774768,0.348,0.363,1,0.015
U2AF2,0.074366704,-0.442658905,0.17,0.214,1,0.044
DYRK2,0.074505347,0.269596935,0.182,0.134,1,-0.048
SYNC,0.074720846,0.246620554,0.178,0.133,1,-0.045
CNIH1,0.074744839,0.119214087,0.163,0.117,1,-0.046
IDH2,0.075076535,-0.311481192,0.367,0.399,1,0.032
CFAP97,0.075267952,-0.551851392,0.152,0.189,1,0.037
KDM3B,0.075408515,0.372704575,0.136,0.099,1,-0.037
NUDCD2,0.07562878,0.234623113,0.152,0.109,1,-0.043
PPWD1,0.075636212,0.48126492,0.121,0.087,1,-0.034
PARK7,0.075680959,-0.231660596,0.47,0.501,1,0.031
HDGF,0.075689924,-0.488247796,0.133,0.172,1,0.039
COPZ1,0.075700261,-0.504678187,0.174,0.21,1,0.036
UBE2G1,0.076090156,-0.647480847,0.17,0.201,1,0.031
ADSS,0.076104062,0.167972161,0.288,0.221,1,-0.067
TMOD3,0.07613737,-0.427149867,0.239,0.275,1,0.036
ANXA2,0.07614566,-0.354005584,0.364,0.388,1,0.024
TAPBPL,0.076486013,0.210664304,0.189,0.139,1,-0.05
PIK3IP1,0.076588925,0.188232036,0.269,0.209,1,-0.06
BZW1,0.076760511,-0.320209778,0.394,0.415,1,0.021
NDUFB8,0.076787065,0.120374502,0.572,0.47,1,-0.102
ACAP2,0.077082659,-0.345838089,0.337,0.369,1,0.032
GLRX,0.077509162,-0.517622728,0.208,0.241,1,0.033
HNRNPK,0.077868233,-0.174092182,0.625,0.619,1,-0.006
POMP,0.077881381,-0.384265013,0.254,0.287,1,0.033
CDC42EP3,0.078200976,0.199139705,0.424,0.341,1,-0.083
MRPL21,0.078245637,0.274933713,0.159,0.118,1,-0.041
GNAI2,0.078248023,-0.163406776,0.72,0.735,1,0.015
RFFL,0.078507375,0.364271035,0.114,0.08,1,-0.034
MRPL54,0.078653747,0.088779758,0.311,0.243,1,-0.068
SETD5,0.078672609,0.273903004,0.182,0.138,1,-0.044
OGFR,0.078777506,0.182287307,0.22,0.168,1,-0.052
AKAP13,0.079013291,0.129186902,0.492,0.409,1,-0.083
IRF9,0.079178118,0.139131991,0.318,0.252,1,-0.066
PIP4K2A,0.079228082,-0.366677229,0.447,0.454,1,0.007
XRN1,0.079300605,-0.441526356,0.227,0.265,1,0.038
ARHGAP9,0.07930985,-0.42305673,0.258,0.294,1,0.036
MYLIP,0.079393238,0.367007414,0.246,0.201,1,-0.045
SH3GLB1,0.079459802,-0.529476485,0.189,0.224,1,0.035
STK24,0.079511063,0.183071463,0.292,0.23,1,-0.062
DNAJC15,0.079517346,0.098336906,0.197,0.144,1,-0.053
GYG1,0.079558368,0.064798598,0.193,0.143,1,-0.05
PTEN,0.079637076,0.323194124,0.216,0.168,1,-0.048
VPS29,0.079860158,-0.510745109,0.212,0.246,1,0.034
IQGAP2,0.080745445,-0.42852991,0.333,0.358,1,0.025
DHX36,0.081023336,0.234944356,0.295,0.239,1,-0.056
AUP1,0.08105117,-0.337458155,0.337,0.373,1,0.036
SPCS1,0.081185171,0.172220076,0.587,0.507,1,-0.08
MIA3,0.081592593,0.105118394,0.216,0.163,1,-0.053
AOAH,0.081736411,-0.348197401,0.439,0.45,1,0.011
ANXA7,0.082251067,-0.557375701,0.155,0.192,1,0.037
ATP6V0B,0.082610905,0.082861111,0.417,0.325,1,-0.092
RASA2,0.082803,-0.599099983,0.159,0.195,1,0.036
SAP30,0.082933477,0.415878656,0.11,0.077,1,-0.033
ATP2A3,0.083058602,0.197880976,0.364,0.288,1,-0.076
RAPGEF1,0.083263197,-0.50707592,0.182,0.219,1,0.037
CA5B,0.0832847,0.240332281,0.205,0.156,1,-0.049
H3F3B,0.083315737,0.089613214,0.943,0.954,1,0.011
SCRN2,0.08333561,0.300224365,0.189,0.145,1,-0.044
PIM1,0.083422289,0.253621532,0.371,0.304,1,-0.067
MLEC,0.083435698,0.218601545,0.216,0.164,1,-0.052
CDK11A,0.083559719,-0.631584904,0.129,0.165,1,0.036
HEXD,0.083722591,0.334136864,0.14,0.102,1,-0.038
MAGED2,0.083737584,-0.614209733,0.155,0.189,1,0.034
FIP1L1,0.083874142,0.225793802,0.269,0.212,1,-0.057
SLC25A6,0.084034366,0.081822176,0.856,0.816,1,-0.04
CTNNB1,0.084327212,-0.595763417,0.117,0.155,1,0.038
MED16,0.084778217,-0.548172057,0.087,0.123,1,0.036
KMT2C,0.085144712,0.112805228,0.269,0.204,1,-0.065
RHOC,0.085229544,-0.225284487,0.326,0.354,1,0.028
ARL6IP4,0.085250367,0.144368836,0.667,0.579,1,-0.088
SPTAN1,0.085274725,0.046481153,0.356,0.283,1,-0.073
BAX,0.085401218,-0.243828336,0.447,0.463,1,0.016
DIMT1,0.085606608,0.395415735,0.11,0.077,1,-0.033
SLC38A2,0.085648548,-0.437717453,0.208,0.246,1,0.038
CNOT4,0.085664212,0.228543697,0.212,0.165,1,-0.047
THRAP3,0.085970143,-0.295484203,0.345,0.374,1,0.029
POLD4,0.08605733,-0.277265954,0.322,0.358,1,0.036
LPP,0.086124301,-0.699506288,0.102,0.136,1,0.034
ZCCHC2,0.086163667,0.678340403,0.102,0.072,1,-0.03
CAPN15,0.086189763,-0.546094975,0.076,0.11,1,0.034
RAD23A,0.086232834,-0.391831488,0.367,0.381,1,0.014
PCMTD1,0.086337277,0.223333954,0.216,0.165,1,-0.051
CTSH,0.086506391,0.436437212,0.102,0.071,1,-0.031
ZDHHC18,0.086668569,0.166961027,0.167,0.124,1,-0.043
NT5DC1,0.086708977,0.212588396,0.125,0.089,1,-0.036
PLEKHA2,0.086856095,0.274574427,0.148,0.108,1,-0.04
RRP7A,0.087101934,0.253574766,0.133,0.096,1,-0.037
SUCO,0.087129746,0.502068769,0.152,0.113,1,-0.039
GNAI3,0.08716628,-0.719318683,0.14,0.172,1,0.032
C11orf68,0.087443639,0.483303935,0.102,0.071,1,-0.031
BLCAP,0.088115522,0.242917004,0.133,0.095,1,-0.038
TTC19,0.088199839,0.144431261,0.235,0.183,1,-0.052
FAM49B,0.088511003,-0.322434125,0.371,0.4,1,0.029
OXCT1,0.088608418,0.324816664,0.117,0.082,1,-0.035
CARS2,0.088685709,0.248453775,0.117,0.082,1,-0.035
IFI27L2,0.08908531,-0.452735936,0.227,0.258,1,0.031
RBM33,0.089146498,-0.466107456,0.189,0.229,1,0.04
SUMF1,0.089961121,0.257581772,0.106,0.074,1,-0.032
UBAC2,0.090113259,0.157599055,0.239,0.183,1,-0.056
TOMM40,0.090379399,0.349003997,0.14,0.102,1,-0.038
MRPL12,0.09055297,0.321042818,0.11,0.077,1,-0.033
ZNF33A,0.090572666,0.223030785,0.114,0.08,1,-0.034
COX5A,0.090837827,-0.293718488,0.409,0.423,1,0.014
ARL6IP5,0.090856683,-0.184536053,0.689,0.68,1,-0.009
NDUFAF2,0.090872935,0.314883768,0.102,0.071,1,-0.031
SEC22B,0.091618001,0.348080445,0.129,0.092,1,-0.037
CLIC3,0.091774067,-0.651547481,0.152,0.188,1,0.036
MLLT10,0.091880382,-0.308927049,0.091,0.126,1,0.035
PRR13,0.091999184,-0.237831382,0.636,0.615,1,-0.021
GABARAP,0.092016072,-0.165730226,0.697,0.659,1,-0.038
UCHL5,0.092051744,-0.460772147,0.133,0.169,1,0.036
CAP1,0.09232971,-0.208797203,0.591,0.607,1,0.016
ARPC5,0.092491844,-0.269201928,0.504,0.52,1,0.016
ACADVL,0.092727472,0.194526711,0.356,0.291,1,-0.065
DCAF16,0.092783103,0.36191022,0.106,0.074,1,-0.032
DCTN2,0.092958441,-0.447831606,0.208,0.24,1,0.032
RAB18,0.092963757,-0.609456226,0.17,0.201,1,0.031
SPTLC2,0.09311427,0.17024945,0.102,0.07,1,-0.032
N4BP1,0.093120131,0.167972386,0.17,0.126,1,-0.044
NCBP2,0.093166875,0.370344367,0.155,0.118,1,-0.037
USP36,0.093197032,0.233636167,0.152,0.114,1,-0.038
PHAX,0.093219843,-0.673364551,0.095,0.127,1,0.032
PAM16,0.093230083,0.308338802,0.114,0.08,1,-0.034
NDUFA6,0.093685567,-0.360685932,0.295,0.323,1,0.028
ATP6V0E2,0.094139472,0.225001876,0.208,0.16,1,-0.048
DNAJC4,0.094276669,0.193281147,0.163,0.121,1,-0.042
NCBP3,0.094456737,0.217403203,0.163,0.122,1,-0.041
SPPL2A,0.094570269,-0.659477246,0.125,0.157,1,0.032
MKNK2,0.094803013,0.085560653,0.364,0.29,1,-0.074
CSDE1,0.095000472,0.130400265,0.553,0.452,1,-0.101
REV3L,0.09538443,0.201741755,0.133,0.096,1,-0.037
COMMD5,0.095386406,0.262724232,0.102,0.072,1,-0.03
SMARCA2,0.095411331,-0.368320104,0.254,0.295,1,0.041
LAMP1,0.095466536,-0.250820672,0.462,0.473,1,0.011
EHMT2,0.095653147,-0.695475621,0.072,0.104,1,0.032
GKAP1,0.095668134,0.570033708,0.114,0.082,1,-0.032
CD244,0.095925086,-0.746526388,0.083,0.114,1,0.031
TFAM,0.096119454,0.143972699,0.182,0.137,1,-0.045
RAB5IF,0.096710134,0.185755962,0.322,0.264,1,-0.058
MRPS11,0.097520015,-0.640679399,0.072,0.102,1,0.03
SLU7,0.09763304,-0.601963788,0.121,0.155,1,0.034
SMCHD1,0.097703267,0.159463407,0.538,0.45,1,-0.088
VRK3,0.097925857,-0.700130715,0.072,0.102,1,0.03
BAZ1A,0.098651742,-0.389020353,0.216,0.254,1,0.038
FXR1,0.098777515,-0.493221947,0.167,0.202,1,0.035
TXNDC12,0.098994696,0.185835162,0.227,0.174,1,-0.053
HNRNPAB,0.099405088,0.074468104,0.28,0.216,1,-0.064
FLOT2,0.099577331,0.17193214,0.326,0.262,1,-0.064
GADD45B,0.099584137,-0.236990388,0.436,0.462,1,0.026
C4orf48,0.099830597,0.082088527,0.277,0.216,1,-0.061
ANKRD13A,0.100103016,0.371990877,0.136,0.101,1,-0.035
RNF10,0.100383188,-0.392501254,0.205,0.243,1,0.038
SPG11,0.100745279,-0.512807794,0.106,0.138,1,0.032
COPS6,0.100773951,-0.36891778,0.208,0.242,1,0.034
ATG2A,0.100979548,0.30905287,0.125,0.091,1,-0.034
ACBD6,0.101145203,0.267990174,0.17,0.131,1,-0.039
P4HB,0.101409193,-0.233730381,0.542,0.535,1,-0.007
KIN,0.101538812,0.285687049,0.117,0.084,1,-0.033
USP15,0.101701878,0.139663123,0.379,0.306,1,-0.073
MED1,0.102090491,0.478507915,0.11,0.08,1,-0.03
ATP1A1,0.102116986,0.177687276,0.33,0.269,1,-0.061
C16orf54,0.102126864,0.368614037,0.182,0.143,1,-0.039
ZNF644,0.102316126,0.253947178,0.212,0.164,1,-0.048
WDR43,0.102476906,0.164277163,0.14,0.102,1,-0.038
EMP3,0.10248907,-0.141511782,0.864,0.84,1,-0.024
COA8,0.102634401,0.175814376,0.136,0.099,1,-0.037
UBE2V2,0.103202093,0.157783727,0.167,0.125,1,-0.042
LPCAT1,0.103220808,-0.448559427,0.227,0.264,1,0.037
DRAP1,0.103279989,-0.211124401,0.534,0.54,1,0.006
FOXP1,0.103771699,-0.480949129,0.235,0.264,1,0.029
BTG3,0.103827496,0.146940042,0.129,0.093,1,-0.036
MORC3,0.103828846,-0.250548606,0.144,0.185,1,0.041
SUGT1,0.104272785,-0.60587727,0.129,0.163,1,0.034
ARF1,0.104707615,-0.204713199,0.598,0.615,1,0.017
TCOF1,0.104708586,0.197721817,0.117,0.084,1,-0.033
RNPEP,0.104807147,0.211516937,0.125,0.09,1,-0.035
