Supplementary Data 2E. Differential gene expression in CD8A+ T cells at 12 vs 32 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRDX6,1.04249052601405e-23,-0.072354748,0.204,0.342,1.7514883327562e-19
OCIAD1,1.13221959830276e-23,-0.108502788,0.185,0.342,1.90224214710846e-19
HNRNPD,1.18089410456088e-23,-0.369865958,0.231,0.496,1.98402018507273e-19
CD3D,1.21025532193439e-23,0.130869807,0.785,0.877,2.03334996638197e-19
VCP,1.23496720605589e-23,-0.437465432,0.262,0.542,2.07486840289451e-19
PET100,1.3973860387384e-23,0.394234836,0.329,0.336,2.34774828368438e-19
PLSCR3,1.44660362284059e-23,-0.023460307,0.195,0.32,2.43043874673448e-19
SELENOK,1.52055349262424e-23,-0.203514568,0.249,0.453,2.55468192295798e-19
DNAJB6,1.59518030774181e-23,-0.162090301,0.208,0.39,2.68006243503701e-19
HNRNPL,1.93294466570531e-23,-0.578181296,0.281,0.611,3.24754033285149e-19
RPS4X,2.04484253297158e-23,-0.013183596,0.988,0.993,3.43553993964556e-19
DUS1L,2.24306882606629e-23,-0.407833496,0.118,0.329,3.76857993467398e-19
IFITM3,2.24926237064464e-23,0.031246702,0.363,0.495,3.77898570892006e-19
SUN2,2.60075221636673e-23,-0.644202908,0.489,0.824,4.36952379871775e-19
SHARPIN,2.96794054560244e-23,0.026447313,0.141,0.224,4.98643691066666e-19
SIPA1,2.98913914451625e-23,-0.367746401,0.159,0.381,5.02205267670175e-19
DENR,3.19024946485911e-23,0.13952689,0.174,0.243,5.35993812590979e-19
HMOX2,3.33185182458778e-23,-0.046527313,0.193,0.325,5.59784425048994e-19
SUPT4H1,3.64201891767448e-23,-0.137377809,0.207,0.364,6.1189559835849e-19
APH1A,3.70811314783025e-23,-0.059372385,0.234,0.386,6.23000089966959e-19
UFM1,3.80162323680383e-23,-0.054233571,0.149,0.264,6.38710720015411e-19
POLR2C,4.02901520810129e-23,-0.174504205,0.103,0.238,6.76914845113097e-19
MT-ND6,4.05581866359973e-23,1.245449299,0.641,0.437,6.81418093671391e-19
DNMT1,4.15580774599928e-23,0.151837033,0.184,0.253,6.9821725940534e-19
SIVA1,4.6738261413244e-23,-0.009229811,0.182,0.312,7.85249530003912e-19
DAD1,5.63977189679678e-23,0.036073146,0.313,0.457,9.47538076380827e-19
C9orf78,5.75537148925589e-23,0.060838234,0.349,0.493,9.66959963909881e-19
UQCRH,5.91905718468741e-23,-0.088627154,0.351,0.551,9.94460797599331e-19
CSNK1G2,6.31355330425422e-23,-0.576266494,0.113,0.373,1.06074009064775e-18
PDCD6,6.37655335587325e-23,-0.092275327,0.192,0.34,1.07132472932026e-18
MIEN1,6.9767393168794e-23,-0.008588332,0.23,0.359,1.17216197262891e-18
H2AFZ,7.08722009333731e-23,-0.703125304,0.275,0.621,1.1907238478816e-18
RPN1,7.42634282820174e-23,-0.17156629,0.252,0.459,1.24769985856618e-18
TRAPPC1,8.31217192906999e-23,0.032654812,0.364,0.514,1.39652800580305e-18
SEM1,9.04888409710827e-23,-0.130885142,0.236,0.419,1.52030301715516e-18
UBALD2,9.22918863515055e-23,-0.268537803,0.228,0.456,1.55059598259164e-18
MAP1LC3B,9.53453830913585e-23,-0.38930195,0.213,0.472,1.60189778131791e-18
MMP24OS,1.00322731541045e-22,0.07716202,0.293,0.414,1.6855222126211e-18
EMB,1.03225775443666e-22,0.18480909,0.288,0.367,1.73429625322904e-18
S100A4,1.07773703552958e-22,0.080351347,0.956,0.97,1.81070599339325e-18
EIF3L,1.08198768039746e-22,-0.14130174,0.37,0.596,1.81784750183577e-18
PSMD4,1.09823324084164e-22,-0.008717508,0.195,0.316,1.84514166793803e-18
RPS28,1.11045262347603e-22,0.532746461,0.999,0.998,1.86567145270207e-18
BLOC1S1,1.14494920623322e-22,0.172051878,0.383,0.485,1.92362916139244e-18
ZBTB7A,1.17496298132155e-22,-0.469657201,0.213,0.485,1.97405530491834e-18
IER5L,1.27242074262431e-22,-0.481108023,0.021,0.162,2.1377940896831e-18
UBE2E3,1.28347541904375e-22,-0.054924658,0.159,0.274,2.1563670515354e-18
ILF2,1.435285583348e-22,-0.323958177,0.137,0.344,2.41142330858298e-18
MKNK2,1.46348748630169e-22,-0.440113099,0.176,0.436,2.45880532573547e-18
PIN1,1.52980742467975e-22,0.032074135,0.211,0.328,2.57022945420445e-18
TUFM,1.61047876643864e-22,-0.021419936,0.338,0.51,2.70576537549356e-18
NDUFB2,1.63562086883981e-22,0.11148605,0.478,0.608,2.74800662173777e-18
H2AFX,1.63578189423392e-22,-0.457514623,0.084,0.28,2.74827716050241e-18
RNPEPL1,1.77922838391094e-22,-0.37636219,0.24,0.511,2.98928160780877e-18
GLRX5,1.84684674363169e-22,-0.139399515,0.122,0.245,3.1028872139756e-18
CLNS1A,1.88074024897875e-22,0.068546973,0.141,0.213,3.15983169230919e-18
TAF7,1.95049222246989e-22,0.078996387,0.265,0.378,3.27702198297165e-18
CKLF,2.10792355839645e-22,-0.025871773,0.209,0.331,3.54152237046187e-18
SHFL,2.23631500739306e-22,-0.198064281,0.177,0.344,3.75723284392108e-18
ETS1,2.33102217370382e-22,0.493575689,0.619,0.646,3.91635035403978e-18
PPP1CA,2.36619739375928e-22,-0.159382332,0.563,0.791,3.97544824125497e-18
UQCRQ,2.46723046065048e-22,0.22206459,0.338,0.416,4.14519389693887e-18
PAIP2,2.50937681923928e-22,0.02341876,0.345,0.495,4.21600399400392e-18
UFD1,2.56185660512316e-22,-0.039343384,0.141,0.256,4.30417528226742e-18
PGAM1,2.73125222879991e-22,-0.144259984,0.352,0.569,4.58877686960674e-18
TMEM259,2.87523394202411e-22,-0.574875339,0.137,0.395,4.83068054599471e-18
TUBB4B,2.97449263291206e-22,-0.642880691,0.117,0.407,4.99744507255555e-18
PEBP1,3.15048863568932e-22,-0.227366219,0.286,0.501,5.29313595682162e-18
UQCR10,3.31913391656799e-22,0.062293625,0.388,0.52,5.57647689322588e-18
PDIA3,3.54257189248177e-22,-0.060050719,0.529,0.736,5.95187503655862e-18
COPS6,3.58119701539011e-22,-0.088785281,0.154,0.276,6.01676910555693e-18
KLF13,3.66305406379578e-22,-0.567497922,0.192,0.49,6.15429713258329e-18
PUF60,3.79665654943456e-22,-0.190862122,0.16,0.336,6.378762668705e-18
PSMA3,3.8027401347445e-22,-0.317139091,0.087,0.256,6.38898370038423e-18
RTRAF,3.87433922787331e-22,-0.026641975,0.235,0.369,6.50927733674995e-18
CTDNEP1,4.02559964000785e-22,-0.602085867,0.118,0.383,6.76340995517718e-18
IL7R,4.32136506269749e-22,0.389170606,0.415,0.38,7.26032544183805e-18
NDUFB10,4.42644047790703e-22,-0.044227877,0.334,0.515,7.4368626469316e-18
MRPL34,5.2831181249551e-22,-0.00691555,0.159,0.256,8.87616676173706e-18
UBE2B,5.37833900096529e-22,-0.150219821,0.226,0.398,9.03614735552178e-18
CBX4,5.52325539287863e-22,-0.548591809,0.068,0.279,9.27962138557539e-18
RAB22A,5.67695628680215e-22,-0.034722007,0.126,0.218,9.53785425745629e-18
CLPTM1,6.27947442222836e-22,-0.0439029,0.117,0.217,1.05501449767859e-17
SHKBP1,6.34112576241854e-22,-0.123444384,0.17,0.327,1.06537253934394e-17
NDUFA12,6.60992435652821e-22,-0.136682915,0.164,0.317,1.1105333911403e-17
DAZAP1,6.75522909448668e-22,-0.368771012,0.144,0.36,1.13494604016471e-17
NCK2,6.81637041403944e-22,-0.263436466,0.077,0.21,1.14521839326277e-17
SDHC,7.02564010863887e-22,-0.319108871,0.141,0.339,1.18037779465242e-17
SNHG12,7.19164870113878e-22,-0.396320498,0.094,0.282,1.20826889827833e-17
B2M,7.45212251541912e-22,-0.208098889,0.999,0.996,1.25203110381557e-17
SPN,7.54198505332467e-22,0.02385211,0.341,0.497,1.26712890880908e-17
CYTIP,7.83435327879725e-22,0.159662762,0.39,0.494,1.31624969437073e-17
POLR1D,7.95248244557765e-22,0.045511822,0.271,0.383,1.3360965756815e-17
NDUFA2,8.04496531166837e-22,0.03551901,0.252,0.369,1.3516346220134e-17
ANAPC11,8.14482954161888e-22,0.072639819,0.257,0.373,1.36841281128739e-17
HNRNPDL,8.45848135744821e-22,-0.469764186,0.55,0.842,1.42110945286487e-17
GNB1,8.783283671558e-22,-0.228470288,0.228,0.457,1.47567948965846e-17
LYAR,8.84473330116746e-22,-0.263036614,0.269,0.467,1.48600364192915e-17
COX8A,8.88904623796556e-22,-0.00613368,0.426,0.597,1.49344865844059e-17
EIF5,9.75177921620715e-22,-0.509085804,0.223,0.511,1.63839642611496e-17
FOSB,1.13888451305376e-21,-0.754649617,0.226,0.513,1.91343987038161e-17
JPT1,1.1794373102332e-21,-0.200404788,0.113,0.263,1.98157262492279e-17
CDV3,1.21209343991287e-21,-0.495620074,0.192,0.462,2.03643818839761e-17
RPS27A,1.2611332787861e-21,0.055139447,0.999,0.998,2.11883002168852e-17
RSBN1,1.29446529448977e-21,-0.049003197,0.129,0.228,2.17483114127227e-17
GSTP1,1.45480065335882e-21,0.048502867,0.582,0.729,2.44421057770815e-17
SNHG16,1.47259650655576e-21,-0.278101136,0.132,0.295,2.47410939066433e-17
EIF4H,1.48025989892799e-21,-0.297222206,0.189,0.403,2.48698465618892e-17
PSMB3,1.53124034027914e-21,-0.010673309,0.278,0.417,2.57263689570298e-17
AURKAIP1,1.55723784577783e-21,-0.014255702,0.244,0.375,2.61631530469134e-17
PDCD4,1.58063588496056e-21,-0.234422543,0.162,0.328,2.65562635032223e-17
TMEM59,1.63548966012471e-21,-0.091341461,0.33,0.523,2.74778617797553e-17
CCNH,1.65642302275144e-21,0.266457283,0.351,0.403,2.78295632052469e-17
RAN,1.65680652382486e-21,-0.333415045,0.339,0.623,2.78360064067815e-17
TAGAP,1.70806190979293e-21,-0.667704526,0.328,0.663,2.8697148146431e-17
SYNGR2,1.7869279099117e-21,-0.156093869,0.165,0.321,3.00221758144265e-17
ERH,1.98711552955072e-21,-0.50057741,0.186,0.457,3.33855280119816e-17
R3HDM4,1.99113465720917e-21,-0.135381416,0.156,0.302,3.34530533757713e-17
RAB7A,1.99284759883239e-21,-0.043949341,0.254,0.414,3.3481832507983e-17
IFI27L2,2.18436347389692e-21,0.139429942,0.206,0.259,3.66994907249422e-17
HMGN1,2.25022806704705e-21,0.019917375,0.338,0.504,3.78060817544575e-17
TRAPPC3,2.27524095444636e-21,-0.016562309,0.128,0.232,3.82263232756533e-17
UCP2,2.3226563788466e-21,-0.134137378,0.424,0.614,3.90229498210016e-17
CISD3,2.3528791133865e-21,0.099547092,0.193,0.261,3.95307219840066e-17
YPEL3,2.38099747084157e-21,-0.379996753,0.463,0.746,4.00031385076092e-17
MFSD10,2.51739374592616e-21,-0.073604511,0.266,0.442,4.22947323253054e-17
CERS2,2.51780957885268e-21,-0.288825784,0.122,0.295,4.23017187343038e-17
COPE,2.53070785066146e-21,0.065190411,0.392,0.522,4.25184225989631e-17
DHRS7,2.85409090357091e-21,-0.08103096,0.329,0.531,4.79515812708948e-17
AKT1,2.8840413785682e-21,-0.4264838,0.099,0.301,4.84547792013243e-17
ARL8A,2.89452799495977e-21,-0.432219422,0.077,0.281,4.8630964843319e-17
DDX46,2.9780715954272e-21,-0.085268005,0.264,0.439,5.00345808747724e-17
EDF1,3.02103876991118e-21,0.211576887,0.578,0.692,5.07564723732777e-17
RBBP4,3.04055894616054e-21,-0.052418449,0.232,0.373,5.10844308544433e-17
TMEM256,3.07679458785807e-21,0.131459881,0.204,0.271,5.16932258706034e-17
XRCC6,3.2512488427683e-21,-0.272301695,0.28,0.52,5.46242318073502e-17
FIBP,3.30579608758023e-21,0.035595785,0.138,0.214,5.55406800674354e-17
LAMTOR1,3.36607443760041e-21,0.053563531,0.258,0.367,5.65534166261245e-17
PSMB10,3.48348096560368e-21,-0.259499699,0.314,0.555,5.85259637031075e-17
MEAF6,3.72654498529788e-21,-0.200777155,0.206,0.397,6.26096822979897e-17
C19orf53,3.73578032484685e-21,0.175710328,0.353,0.467,6.27648452377519e-17
GRB2,3.84572388485578e-21,-0.169151462,0.239,0.431,6.4612006989462e-17
SH3BGRL3,3.92103076426099e-21,-0.032651544,0.981,0.985,6.58772378703488e-17
MDH1,3.99169327906865e-21,-0.252319272,0.137,0.322,6.70644387816323e-17
TMEM230,4.09448974556672e-21,0.043871871,0.206,0.307,6.87915222152664e-17
PURA,4.26491660087885e-21,-0.477395655,0.108,0.317,7.16548638113656e-17
ZNHIT1,4.30926037598674e-21,0.14952989,0.241,0.313,7.23998835769532e-17
UQCRC1,4.31491552422992e-21,-0.038456003,0.183,0.32,7.24948957225869e-17
GPI,4.34855673176827e-21,-0.034263513,0.278,0.448,7.30601016504387e-17
FBXW5,4.61697515617712e-21,-0.372089063,0.24,0.49,7.75697995989318e-17
BCAP31,4.87185574854319e-21,-0.01341981,0.35,0.52,8.18520484312741e-17
EMC4,5.44720222260945e-21,-0.087504917,0.182,0.325,9.15184445420614e-17
RELA,5.64022349274984e-21,-0.120879829,0.139,0.276,9.476139490169e-17
RASAL3,5.66912063635776e-21,-0.415061419,0.247,0.509,9.52468958114466e-17
G3BP2,5.70585672091558e-21,-0.250027797,0.202,0.396,9.58640987681026e-17
PPP2R1A,6.02432382246506e-21,-0.113048747,0.226,0.387,1.01214664541235e-16
VAPA,6.75832435468146e-21,-0.117542479,0.202,0.363,1.13546607483003e-16
TSC22D4,6.96678155215048e-21,-0.033789405,0.267,0.433,1.1704889685768e-16
EMD,7.35875674668445e-21,-0.027030331,0.233,0.369,1.23634472101045e-16
PSENEN,7.92971674179898e-21,-0.00551745,0.131,0.217,1.33227170978965e-16
PRDX2,8.97629764322584e-21,-0.093748232,0.28,0.471,1.50810776703837e-16
H2AFV,9.72728251960644e-21,-0.07307329,0.279,0.451,1.63428073611908e-16
CUTA,9.76072459927458e-21,0.18339851,0.394,0.493,1.63989933992412e-16
RBX1,1.00525386694053e-20,-0.178594676,0.172,0.337,1.68892702184679e-16
SPCS2,1.12015640815625e-20,0.047491889,0.285,0.417,1.88197478134331e-16
NDUFB7,1.24069838740001e-20,0.226840058,0.431,0.513,2.08449736067075e-16
SSNA1,1.24929388032677e-20,-0.050675426,0.238,0.383,2.09893864833701e-16
C18orf32,1.33796168378784e-20,0.0257766,0.17,0.26,2.24790942493195e-16
ENSA,1.47779911101669e-20,-0.061105733,0.227,0.363,2.48285028641915e-16
SMAP2,1.51111486161443e-20,-0.065891015,0.231,0.382,2.53882407899841e-16
MT2A,1.51447778194917e-20,0.228615758,0.482,0.551,2.5444741214528e-16
TNIP1,1.53612137681479e-20,0.010572473,0.195,0.327,2.58083752518652e-16
AAK1,1.54925353855308e-20,0.360321873,0.331,0.342,2.60290087012303e-16
RNF181,1.62703566405961e-20,-0.031864446,0.153,0.259,2.73358261918656e-16
USP7,1.64896888433984e-20,-0.367572074,0.055,0.194,2.77043262257936e-16
CAPNS1,1.6761593148108e-20,-0.398053983,0.272,0.562,2.81611526481363e-16
DSTN,1.78561719557917e-20,-0.039028116,0.282,0.43,3.00001545029256e-16
PRF1,1.93036259947531e-20,-0.267121467,0.735,0.876,3.24320220337846e-16
EGR1,1.97285121397662e-20,-0.522749138,0.024,0.139,3.31458732460211e-16
GRK6,2.06429143100925e-20,-0.141292099,0.198,0.345,3.46821603323864e-16
CYC1,2.06551743570515e-20,-0.157221228,0.178,0.349,3.47027584372822e-16
TMEM35B,2.10096328085771e-20,0.150960788,0.192,0.25,3.52982840816904e-16
NAPA,2.13590367143199e-20,-0.110156374,0.218,0.387,3.58853175837289e-16
NDUFB11,2.23360339282703e-20,0.013702617,0.471,0.644,3.75267706028869e-16
SF3B5,2.24140542148067e-20,0.042619655,0.336,0.476,3.76578524862967e-16
TGOLN2,2.26161929499046e-20,0.296480991,0.325,0.369,3.79974657751348e-16
RPL12,2.27250688213265e-20,0.041150887,0.995,0.993,3.81803881267107e-16
CCT8,2.30855261736256e-20,-0.229668026,0.133,0.293,3.87859925243083e-16
SUMF2,2.34585065576772e-20,-0.139198657,0.126,0.262,3.94126368675535e-16
NAP1L1,2.37278927190803e-20,-0.197101675,0.222,0.392,3.98652325573268e-16
DDX3Y,2.4064021432412e-20,-0.240325894,0.116,0.278,4.04299624085954e-16
EIF3D,2.42687646087997e-20,0.071197318,0.313,0.437,4.07739514192444e-16
CACYBP,2.60037246327823e-20,-0.060381294,0.148,0.252,4.36888577555375e-16
FYTTD1,2.60527213307692e-20,-0.153292436,0.101,0.233,4.37711771078254e-16
PSMB6,2.61189649119058e-20,-0.077710446,0.226,0.388,4.38824729484929e-16
GABARAPL2,2.6160303377678e-20,-0.107746397,0.232,0.39,4.39519257048368e-16
