Supplementary Data 2C. Differential gene expression in CD8A+ T cells at pre-treatment vs 12 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ATP5MPL,3.43133087682371e-05,-0.158628016,0.385,0.427,0.576497901
MAT2A,3.59473391631787e-05,0.223949104,0.237,0.149,0.603951245
SFPQ,3.62336265753872e-05,0.195990458,0.626,0.582,0.60876116
SRSF1,3.66306161877416e-05,-0.135329266,0.255,0.315,0.615430983
CD7,3.79359219368712e-05,-0.290338963,0.462,0.539,0.637361424
NPC1,4.0791250934602e-05,0.209106677,0.182,0.105,0.685333807
SLC7A5,4.1306669635007e-05,0.192729257,0.126,0.075,0.693993357
ARFRP1,4.27577800897498e-05,-0.167467543,0.11,0.158,0.718373463
RAP1B,4.28284950005247e-05,0.274249087,0.809,0.73,0.719561545
PRRC2B,4.38076564008957e-05,0.173124717,0.28,0.203,0.736012435
EIF4A3,4.44308430453061e-05,0.224448283,0.201,0.119,0.746482594
ITGB1,4.53181742728449e-05,0.260643575,0.713,0.646,0.761390646
SRP14,4.57942091314925e-05,-0.125948971,0.827,0.838,0.769388508
EIF4A1,4.92204609383283e-05,0.247168463,0.715,0.63,0.826952964
WBP1,5.10197333891147e-05,-0.18583223,0.189,0.235,0.857182541
OST4,5.1103378387008e-05,-0.131871152,0.768,0.802,0.85858786
IMMP2L,5.88925852730024e-05,-0.115587666,0.032,0.066,0.989454325
ECH1,6.35191151810309e-05,-0.11859627,0.387,0.409,1
SAT1,6.39635141115777e-05,0.307996215,0.533,0.435,1
RPS27,6.51606843064802e-05,0.025268252,0.998,1,1
PPDPF,7.00032699020861e-05,-0.112036277,0.909,0.923,1
PPIB,7.08115616517783e-05,-0.05193866,0.846,0.863,1
CIRBP,7.12935528414588e-05,-0.104270772,0.813,0.846,1
SHFL,7.17008344184376e-05,-0.157135484,0.344,0.383,1
TMA7,7.21662170972962e-05,-0.11871614,0.89,0.902,1
TRAPPC6A,7.22712260448052e-05,-0.151157411,0.201,0.261,1
RGS1,7.27071922933403e-05,0.151462029,0.058,0.023,1
ACBD6,7.64093880732501e-05,-0.170235111,0.144,0.194,1
TNFAIP8,7.74906005798832e-05,-0.162400968,0.326,0.379,1
RNPEPL1,7.861317821564e-05,0.263658977,0.511,0.402,1
ZBTB24,8.03555264591788e-05,-0.176305213,0.092,0.134,1
NSMCE1,8.45824871123284e-05,-0.155645543,0.149,0.2,1
RPL14,8.49104993776173e-05,-0.109289326,0.992,0.999,1
MEPCE,8.65065021689469e-05,0.124281882,0.07,0.029,1
TMED9,8.67428981342128e-05,-0.105855031,0.424,0.471,1
NCK2,8.73120838137738e-05,-0.23719107,0.21,0.279,1
YRDC,8.7545829428134e-05,-0.114543773,0.124,0.162,1
PLIN2,8.88221967338912e-05,-0.114649708,0.103,0.142,1
SMIM26,9.10958645509839e-05,-0.168346485,0.284,0.337,1
LY9,9.14046692241208e-05,-0.174734173,0.242,0.302,1
CD99,9.14377258711646e-05,0.015034268,0.91,0.921,1
FCMR,9.6597031245236e-05,-0.185621391,0.345,0.405,1
CD3E,0.000101126,-0.079770495,0.941,0.945,1
RNASEH2C,0.000102143,-0.144222257,0.158,0.208,1
ANKRD49,0.000105928,-0.173925932,0.1,0.151,1
WSB1,0.000110107,0.276098224,0.424,0.327,1
NUDT15,0.000111062,-0.106400931,0.027,0.055,1
DGCR6L,0.000113032,-0.151074489,0.193,0.244,1
PRKCQ-AS1,0.000114872,-0.278840755,0.218,0.282,1
MRI1,0.000115508,-0.124540076,0.066,0.105,1
TMEM123,0.000119017,-0.188007587,0.276,0.347,1
C16orf91,0.000126991,-0.131583033,0.062,0.099,1
RACK1,0.000127668,-0.010155725,0.975,0.989,1
PSMB1,0.000140496,-0.106215178,0.476,0.49,1
EIF1,0.000140878,-0.025980367,0.978,0.988,1
SH2D2A,0.000141077,0.274621795,0.487,0.386,1
RPS16,0.0001434,-0.087991893,0.959,0.981,1
CREM,0.00014901,0.188651956,0.156,0.094,1
CLIC3,0.000150603,0.143308242,0.238,0.229,1
GARS-DT,0.000153141,-0.14774008,0.041,0.075,1
TENT5A,0.000157888,0.180935216,0.107,0.054,1
UFM1,0.00016048,-0.140108567,0.264,0.292,1
MT-CO2,0.00016092,-0.330184388,0.993,0.997,1
RPL39,0.00016343,-0.118683625,0.992,0.998,1
METRNL,0.000175698,0.259245918,0.179,0.115,1
HIST1H3D,0.000179902,0.187888027,0.111,0.062,1
HOPX,0.000185464,-0.199526572,0.146,0.203,1
LIMD2,0.000186889,-0.115153515,0.763,0.808,1
CHD2,0.000187819,-0.171847836,0.289,0.346,1
MAD1L1,0.000191868,-0.159589555,0.261,0.313,1
EMP3,0.000196516,-0.011538257,0.875,0.884,1
RAB3GAP1,0.000201638,-0.115152786,0.024,0.055,1
OXNAD1,0.000203116,-0.219541653,0.125,0.186,1
RNMT,0.000204819,-0.232967668,0.231,0.295,1
PSME4,0.000210072,-0.161280708,0.114,0.16,1
SEPTIN7,0.000210343,-0.055057129,0.726,0.751,1
PPP1R15A,0.000217676,0.260830185,0.598,0.503,1
TMSB10,0.000224713,-0.056400252,0.998,0.998,1
MRPL44,0.000228143,-0.135994066,0.107,0.138,1
NDUFC1,0.000233876,-0.154893442,0.231,0.265,1
AC007384.1,0.00023429,0.19027141,0.153,0.093,1
CWC15,0.000235792,-0.163752212,0.191,0.243,1
TMED4,0.00024048,-0.153534206,0.32,0.353,1
HNRNPA2B1,0.000245637,0.059148964,0.899,0.912,1
NIF3L1,0.000248207,-0.123861501,0.053,0.08,1
TRIM73,0.000251354,-0.121308023,0.04,0.076,1
ZEB2,0.000252506,0.294724348,0.617,0.513,1
SHISAL2A,0.000253632,-0.131523313,0.089,0.117,1
ARHGAP45,0.000256128,0.224104066,0.522,0.454,1
ATP5MC3,0.000256227,-0.073517385,0.554,0.568,1
DMAC1,0.00025655,-0.16390127,0.082,0.116,1
SNHG6,0.000258706,-0.132099723,0.51,0.581,1
NUFIP1,0.000262136,-0.117274361,0.035,0.058,1
NOL12,0.000269992,-0.141679183,0.11,0.151,1
EEF1D,0.000279113,0.051141193,0.979,0.978,1
MT-ND2,0.000280036,-0.519175286,0.832,0.894,1
MYL12B,0.000283664,0.005482521,0.839,0.839,1
TBCA,0.000284276,-0.121227044,0.458,0.504,1
RAC2,0.000285615,-0.013928231,0.9,0.901,1
CCDC88C,0.000294425,0.218500507,0.504,0.431,1
MT-ND4L,0.000294628,-0.405012752,0.903,0.95,1
ATRAID,0.000304667,-0.136003916,0.321,0.36,1
CYB561,0.000311645,-0.16882319,0.053,0.1,1
RPS9,0.00031516,0.020432878,0.989,0.992,1
DPM3,0.000323559,-0.164773844,0.211,0.25,1
TMEM50B,0.000330384,-0.148818124,0.163,0.204,1
CCL5,0.000334889,-0.047849665,0.982,0.946,1
CCL3,0.00034293,0.37091741,0.09,0.052,1
MYLIP,0.000343317,0.221232199,0.285,0.222,1
CITED4,0.000348641,-0.14272046,0.028,0.062,1
TBCC,0.000369336,0.246982177,0.316,0.231,1
N4BP2L2,0.000374726,-0.171282299,0.487,0.547,1
TCTEX1D2,0.000375546,-0.10095689,0.069,0.102,1
TLE4,0.000381578,0.255011304,0.317,0.224,1
ARPC1B,0.000382699,-0.051358698,0.802,0.809,1
PITPNA-AS1,0.000385283,-0.128573814,0.067,0.101,1
CHURC1,0.000394204,-0.172326044,0.375,0.428,1
FAM162A,0.000395138,-0.15897915,0.17,0.212,1
TAF9,0.000404836,-0.153554334,0.112,0.149,1
SERF2,0.000405987,-0.081073748,0.944,0.962,1
PTPRC,0.000413374,0.029942516,0.953,0.964,1
WASHC1,0.000415468,-0.178411114,0.322,0.383,1
ABHD5,0.000425496,0.136603554,0.101,0.054,1
DDIT3,0.000427836,0.19410902,0.135,0.093,1
