Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
TUT4,1.22413507478393e-08,0.525073137,0.412,0.343,0.000205667,1,TUT4
ITK,1.26215647583529e-08,0.398697656,0.487,0.403,0.000212055,1,ITK
MYC,1.27883555310094e-08,0.29415701,0.311,0.233,0.000214857,1,MYC
TRAT1,1.36456451499911e-08,0.262659022,0.423,0.38,0.00022926,1,TRAT1
ZRANB2,1.42224685420509e-08,0.351616504,0.374,0.331,0.000238952,1,ZRANB2
CELF2,1.68514854738757e-08,0.458120017,0.463,0.412,0.000283122,1,CELF2
LPIN2,1.88877294927374e-08,0.348024708,0.308,0.237,0.000317333,1,LPIN2
N4BP2L2,2.17526702117375e-08,0.446461341,0.618,0.549,0.000365467,1,N4BP2L2
SF3B1,2.56765565550543e-08,0.398576488,0.598,0.55,0.000431392,1,SF3B1
NELL2,3.38542929109089e-08,0.375626026,0.281,0.194,0.000568786,1,NELL2
NLRP1,3.63139718927236e-08,0.332376016,0.331,0.267,0.000610111,1,NLRP1
TMEM131L,4.44727316809332e-08,0.461408397,0.253,0.181,0.000747186,1,TMEM131L
GIMAP5,4.73135734700522e-08,0.28453378,0.447,0.389,0.000794915,1,GIMAP5
BCL11B,4.84610665032644e-08,0.446143028,0.49,0.41,0.000814194,1,BCL11B
SNHG7,7.4205090103535e-08,0.275610446,0.439,0.377,0.00124672,1,SNHG7
DDX39B,7.91555271334317e-08,0.370765726,0.448,0.41,0.001329892,1,DDX39B
SERINC5,8.08065807209184e-08,0.480698655,0.311,0.235,0.001357631,1,SERINC5
ARHGEF3,8.88869725240753e-08,0.320872372,0.316,0.281,0.00149339,1,ARHGEF3
PITPNC1,9.31504831630865e-08,0.312673569,0.343,0.272,0.001565021,1,PITPNC1
LBH,1.06679492310608e-07,0.259801855,0.62,0.574,0.001792322,1,LBH
STX16,1.27473497391408e-07,0.414810945,0.326,0.234,0.002141682,1,STX16
CYFIP2,1.28866888613122e-07,0.347089107,0.493,0.463,0.002165093,1,CYFIP2
ARMH1,1.30464704450377e-07,0.321125291,0.323,0.244,0.002191937,1,ARMH1
STAT3,1.32738249380076e-07,0.37537418,0.492,0.419,0.002230135,1,STAT3
ERAP2,1.65402221807883e-07,0.403434075,0.421,0.336,0.002778923,1,ERAP2
STK17B,1.90073179527911e-07,0.343798562,0.636,0.601,0.003193419,1,STK17B
LENG8,2.07166153266963e-07,0.419578905,0.353,0.272,0.003480599,1,LENG8
CREBZF,2.71064834222042e-07,0.364192898,0.274,0.205,0.00455416,1,CREBZF
