Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LY9,0.00033446,-0.191762306,0.252,0.302,1
GABPB1-AS1,0.000340238,-0.201905671,0.094,0.161,1
CYLD,0.000342029,-0.151166684,0.186,0.263,1
TSPYL2,0.000349081,0.288218945,0.249,0.191,1
PBXIP1,0.000351421,-0.220182037,0.313,0.388,1
RGCC,0.000362205,0.382254018,0.143,0.089,1
CREBZF,0.000377569,-0.217672771,0.173,0.257,1
AMD1,0.000380853,0.281584763,0.241,0.172,1
ZEB2,0.000390249,0.182112435,0.539,0.513,1
POLK,0.000403227,-0.020508143,0.06,0.093,1
AC020916.1,0.000412433,0.300061504,0.233,0.163,1
C17orf49,0.000428027,0.284498269,0.358,0.282,1
CSK,0.000442778,-0.215506487,0.472,0.571,1
GABARAP,0.000445097,-0.19608892,0.643,0.731,1
CTDSP1,0.000450453,-0.181892299,0.327,0.427,1
HMGB1,0.000476868,-0.193050952,0.822,0.849,1
MUL1,0.000502621,-0.1519471,0.042,0.08,1
HLA-DRA,0.000505682,0.192596817,0.088,0.048,1
CD99,0.000515617,0.12262642,0.91,0.921,1
SELPLG,0.000519163,-0.237339172,0.513,0.601,1
EPB41,0.000524194,-0.231267035,0.363,0.423,1
ITGB2,0.000528232,0.124272465,0.873,0.87,1
RAC2,0.000532333,-0.12505049,0.837,0.901,1
PA2G4,0.000551084,-0.226790312,0.327,0.403,1
GNLY,0.000606072,0.063673871,0.857,0.83,1
KLRK1,0.000622166,-0.23006731,0.625,0.697,1
MAT2B,0.000632018,-0.262482644,0.303,0.382,1
ZFP90,0.000638692,-0.210123669,0.06,0.114,1
PRF1,0.000652054,-0.295566261,0.731,0.789,1
NMT2,0.000653939,-0.088635008,0.026,0.064,1
CD2,0.000666956,-0.220390391,0.624,0.701,1
CD7,0.000671636,-0.188772026,0.464,0.539,1
RHOG,0.000691537,-0.204693281,0.349,0.444,1
LYPLAL1,0.000726361,-0.155477318,0.028,0.066,1
TOB1,0.000744341,0.234390041,0.313,0.258,1
KLRG1,0.000747093,-0.224083473,0.513,0.57,1
MRPL57,0.000753717,-0.236770305,0.267,0.32,1
DGCR6L,0.000760939,-0.150251338,0.173,0.244,1
RPL28,0.000789728,0.106468217,1,1,1
ADGRG1,0.000834101,0.154742346,0.577,0.546,1
WASHC1,0.000834386,-0.263094388,0.295,0.383,1
