Supplementary Data 2D. Differential gene expression in CD8A+ T cells at 12  vs 24 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RBBP6,2.37962123745616e-40,-0.424037744,0.208,0.435,3.99800164105009e-36
EIF3I,2.478304448421e-40,-0.032991402,0.239,0.358,4.16379930379211e-36
CLNS1A,2.51926981058979e-40,-0.010070869,0.13,0.213,4.23262520877191e-36
PPP4C,2.53214979107945e-40,-0.205863452,0.238,0.435,4.25426486399259e-36
TMEM259,3.18644955355576e-40,-0.525905602,0.148,0.395,5.35355389492903e-36
PRDX2,3.24223761091495e-40,-0.028730047,0.32,0.471,5.4472834100982e-36
GPI,3.3017291305174e-40,0.021533152,0.323,0.448,5.54723511218228e-36
TMEM9B,4.09434087955117e-40,-0.159399848,0.147,0.283,6.87890211173392e-36
PUF60,4.41142042702666e-40,-0.107975795,0.195,0.336,7.4116274594475e-36
AAK1,5.44932136542409e-40,0.410070421,0.359,0.342,9.15540482604902e-36
COX5A,5.89678148164274e-40,-0.058031312,0.326,0.477,9.90718256730797e-36
COX14,5.95538999871234e-40,0.111271761,0.222,0.288,1.00056507368366e-35
DAD1,7.43674618065257e-40,0.095706487,0.361,0.457,1.24944772581144e-35
DHRS7,8.20039425692829e-40,-0.093004085,0.347,0.531,1.37774823910652e-35
PPP3CC,8.33966541591308e-40,-0.190156694,0.265,0.461,1.40114718652756e-35
IL10RA,8.52338732437305e-40,-0.452602905,0.351,0.622,1.43201430436792e-35
GOLPH3,8.87486772145487e-40,-0.19059339,0.159,0.313,1.49106652588163e-35
UQCR10,8.90457577991297e-40,-0.012520607,0.371,0.52,1.49605777678318e-35
SELENOW,8.90736198407735e-40,0.040872164,0.416,0.538,1.49652588694484e-35
NDUFV2,9.58260714401778e-40,-0.163457946,0.193,0.353,1.60997382626643e-35
GABARAPL2,9.70820636626261e-40,-0.198094223,0.215,0.39,1.63107575159578e-35
ZNF706,1.03618449506922e-39,-0.131750339,0.164,0.297,1.74089357016579e-35
POLR1D,1.03940280990395e-39,0.080018739,0.293,0.383,1.74630066091963e-35
C9orf78,1.10933013118075e-39,0.087145703,0.375,0.493,1.86378555339677e-35
GET3,1.17044167558008e-39,0.024988339,0.159,0.236,1.96645905914209e-35
SNHG16,1.25704743633355e-39,-0.173691887,0.161,0.295,2.11196539778399e-35
EMC7,1.33297969184837e-39,-0.052180194,0.152,0.256,2.23953918027445e-35
KLF13,1.35021233712087e-39,-0.453258832,0.233,0.49,2.26849174759677e-35
NCK2,1.37479422796588e-39,-0.288726758,0.078,0.21,2.30979178240548e-35
CD3D,1.39100483252288e-39,0.167321382,0.824,0.877,2.3370272191217e-35
CERS2,1.50651803441867e-39,-0.31420395,0.122,0.295,2.53110094962681e-35
LAPTM4A,1.65257760721143e-39,-0.096518049,0.131,0.242,2.77649563787593e-35
RPN1,1.8511975913538e-39,-0.166933043,0.276,0.459,3.11019707323353e-35
PSENEN,1.87492996337749e-39,0.031441444,0.15,0.217,3.15006983147052e-35
LAMTOR1,2.2485681996895e-39,0.08397247,0.283,0.367,3.77781943229832e-35
GRK6,2.32014984966209e-39,-0.11586371,0.212,0.345,3.89808376241728e-35
IGFLR1,2.60933145893742e-39,-0.080509931,0.136,0.234,4.38393778416077e-35
SF3B5,2.63020778073226e-39,0.157377859,0.395,0.476,4.41901209240827e-35
RTRAF,2.71026773223734e-39,-0.036632818,0.243,0.369,4.55352081693195e-35
GHITM,2.94316723965845e-39,-0.230198544,0.261,0.464,4.94481527935016e-35
WASF2,2.95042050776503e-39,0.177445369,0.345,0.419,4.95700149509602e-35
MAP1LC3B,3.06050878981867e-39,-0.32378434,0.242,0.472,5.14196081777436e-35
IK,3.2209229021857e-39,0.177018514,0.318,0.382,5.41147256796219e-35
TNFSF12,4.08243887905402e-39,0.048988906,0.245,0.34,6.85890556069867e-35
MRPL34,4.29541735821487e-39,-0.026160525,0.163,0.256,7.2167307035368e-35
KMT2A,4.38994925546953e-39,-0.298827655,0.258,0.471,7.37555374411435e-35
DSTN,4.41546869456915e-39,0.0005836,0.307,0.43,7.41842895374563e-35
MCUB,4.76916394413213e-39,-0.269908599,0.145,0.292,8.01267234253639e-35
NDUFB2,4.96697618090477e-39,0.121686731,0.505,0.608,8.34501668153811e-35
PSME1,5.34160390004376e-39,0.265591628,0.814,0.847,8.97442871246352e-35
IGBP1,5.35118519402528e-39,-0.002228418,0.199,0.298,8.99052624448187e-35
SENP6,5.73979537135922e-39,-0.075809317,0.185,0.313,9.64343020342062e-35
COX7A2L,5.76838330443141e-39,-0.096024447,0.233,0.374,9.69146078977521e-35
WAS,6.51484730268039e-39,-0.073366886,0.362,0.528,1.09455949532333e-34
SPCS3,6.52414132525651e-39,0.071697825,0.278,0.37,1.09612098405635e-34
GZMM,6.6995708963667e-39,0.27731779,0.793,0.825,1.12559490629857e-34
SDHC,8.00245964641533e-39,-0.361417316,0.14,0.339,1.34449324519424e-34
POLR2G,8.04091701466647e-39,-0.024554818,0.229,0.346,1.35095446763411e-34
MT-ND6,8.36831937943698e-39,1.006666027,0.613,0.437,1.40596133893921e-34
CTSD,8.78863617382485e-39,0.030625666,0.448,0.577,1.47657876356431e-34
EIF4H,9.3699684160994e-39,-0.235323976,0.21,0.403,1.57424839358886e-34
LSM4,9.74922378085749e-39,0.1612802,0.202,0.242,1.63796708742187e-34
VAMP8,1.0645992544711e-38,-0.083635187,0.332,0.499,1.78863320743689e-34
IFITM3,1.10185345500196e-38,0.048465029,0.386,0.495,1.85122398974879e-34
RTF2,1.11326483902381e-38,-0.088122656,0.134,0.242,1.8703962560439e-34
SRP9,1.40747040855966e-38,-0.283695143,0.224,0.435,2.36469103342108e-34
C5orf56,1.60709461775335e-38,-0.122200974,0.256,0.408,2.7000796672874e-34
ZBTB7A,1.61253562522257e-38,-0.400376761,0.231,0.485,2.70922110393645e-34
CHD1,1.73661094357761e-38,-0.100589546,0.203,0.343,2.91768004630473e-34
APH1A,1.8914636277284e-38,-0.061983525,0.252,0.386,3.17784804094649e-34
ERH,1.96961820536491e-38,-0.48897111,0.194,0.457,3.30915554683359e-34
MXD4,2.02087530588737e-38,-0.535291799,0.137,0.378,3.39527260142137e-34
EPC1,2.32363509380851e-38,0.015512697,0.374,0.527,3.90393932110768e-34
TMA7,2.61894727770505e-38,0.403481427,0.896,0.89,4.40009332127226e-34
ENSA,2.76858847726143e-38,0.02127887,0.257,0.363,4.65150550064693e-34
CSNK2B,2.77232681010568e-38,-0.040326286,0.392,0.557,4.65778627365856e-34
CMPK1,2.99744872318729e-38,-0.198442595,0.266,0.45,5.03601359982697e-34
ARL4C,3.21466406385258e-38,-0.520400773,0.593,0.847,5.40095709367872e-34
VDAC2,3.27315450812674e-38,-0.188504913,0.221,0.386,5.49922688910374e-34
SPCS1,3.29721633175258e-38,0.038403374,0.396,0.524,5.53965315897751e-34
MGST3,3.51870262231984e-38,-0.079910483,0.216,0.35,5.91177227575957e-34
PDCD6,3.75048301309975e-38,-0.103641826,0.199,0.34,6.30118651030889e-34
EIF5,4.02716467654478e-38,-0.34158846,0.274,0.511,6.76603937306289e-34
